date,iowa,ohio,iowa_returns,ohio_returns,spread
2020-04-01,3.28,3.66,-0.098901098901099,-0.08270676691729328,0.38000000000000034
2020-05-01,3.12,3.46,-0.04878048780487798,-0.05464480874316946,0.33999999999999986
2020-06-01,3.11,3.54,-0.0032051282051283048,0.023121387283236983,0.43000000000000016
2020-07-01,3.14,3.47,0.009646302250803984,-0.019774011299435013,0.33000000000000007
2020-08-01,3.08,3.29,-0.019108280254777066,-0.05187319884726227,0.20999999999999996
2020-09-01,3.39,3.62,0.10064935064935066,0.10030395136778125,0.22999999999999998
2020-10-01,3.61,3.78,0.06489675516224191,0.044198895027624197,0.16999999999999993
2020-11-01,3.82,3.91,0.05817174515235446,0.03439153439153442,0.0900000000000003
2020-12-01,4.05,4.11,0.060209424083769614,0.051150895140664954,0.0600000000000005
2021-01-01,4.4,4.39,0.08641975308641991,0.06812652068126512,-0.010000000000000675
2021-02-01,4.87,4.8,0.1068181818181817,0.09339407744874717,-0.07000000000000028
2021-03-01,4.89,5.06,0.004106776180698102,0.054166666666666696,0.16999999999999993
2021-04-01,5.35,5.54,0.09406952965235171,0.0948616600790515,0.1900000000000004
2021-05-01,6.03,6.25,0.12710280373831795,0.128158844765343,0.21999999999999975
2021-06-01,6.19,6.34,0.026533996683250516,0.014399999999999968,0.14999999999999947
2021-07-01,6.22,6.27,0.004846526655896577,-0.01104100946372244,0.04999999999999982
2021-08-01,6.38,6.54,0.025723472668810254,0.04306220095693791,0.16000000000000014
2021-09-01,5.63,5.74,-0.11755485893416928,-0.1223241590214067,0.11000000000000032
2021-10-01,5.02,5.01,-0.10834813499111906,-0.12717770034843212,-0.009999999999999787
2021-11-01,5.23,5.25,0.04183266932270935,0.04790419161676662,0.019999999999999574
2021-12-01,5.54,5.41,0.05927342256214141,0.030476190476190546,-0.1299999999999999
2022-01-01,5.7,5.57,0.028880866425992746,0.02957486136783727,-0.1299999999999999
2022-02-01,6.11,5.95,0.07192982456140351,0.06822262118491929,-0.16000000000000014
2022-03-01,6.59,6.53,0.07855973813420625,0.09747899159663875,-0.05999999999999961
